year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Donte Moncrief,8725,WR,9,IND,160,0,0,160,0,0,0,0,0,73.4,,79.7,0,0,0,0,0,0
2016,John Brown,8726,WR,15,ARZ,167,0,0,167,0,0,0,0,0,71.4,,71,0,0,0,0,1,0
2016,Trai Turner,8727,G,16,CAR,1098,0,650,448,2,0,0,883,241,67,64.5,70.8,2,4,34,40,11,3
2016,Brandon Linder,8728,C,14,JAX,909,0,611,298,0,0,925,0,0,81.8,83.6,78.3,2,2,9,13,2,0
2016,Terrance West,8729,HB,16,BLT,78,0,61,17,0,0,0,0,0,74,67.3,60.8,0,0,6,6,1,0
2016,Michael Schofield III,8730,G,16,DEN,1041,0,654,387,13,0,0,949,102,72,73.1,66.9,2,6,20,28,7,2
2016,Jerick McKinnon,8731,HB,15,MIN,72,1,50,21,0,0,0,0,0,59.3,78.5,60.6,1,0,3,4,1,0
2016,Richard Rodgers,8733,TE,16,GB,261,0,48,213,0,0,0,0,0,58.1,70.8,57.8,1,0,3,4,1,0
2016,Crockett Gillmore,8734,TE,7,BLT,153,0,40,113,2,0,0,0,1,63.4,64.5,67.4,0,1,0,1,1,0
2016,Devonta Freeman,8738,HB,16,ATL,70,0,55,15,0,0,0,0,0,74.3,63.3,53.9,1,1,6,8,0,0
2016,Cassius Marsh,8743,ED,2,SEA,2,0,0,2,0,0,0,0,0,60,,60,0,0,0,0,4,0
2016,Russell Bodine,8746,C,16,CIN,1060,0,642,418,0,0,1082,0,0,69.5,63.9,70,6,2,20,28,2,0
2016,DaQuan Jones,8747,DI,1,TEN,1,0,1,0,0,0,0,0,0,60,,,0,0,0,0,2,0
2016,Andre Williams,8748,HB,1,SD,5,0,5,0,0,0,0,0,0,81.1,79.6,,0,0,0,0,0,0
2016,Keith McGill,8751,S,1,OAK,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Ka'Deem Carey,8752,HB,11,CHI,17,0,13,4,0,0,0,0,0,59.4,86.9,60,0,0,1,1,0,0
2016,De'Anthony Thomas,8759,WR,11,KC,37,0,0,37,0,0,0,0,0,50.9,,44,0,0,0,0,1,0
2016,Walt Aikens,8760,S,1,MIA,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,James White,8765,HB,16,NE,66,0,52,14,0,0,0,0,0,68.6,73.8,59,1,0,1,2,1,0
2016,Kevin Pierre-Louis,8767,LB,2,SEA,2,0,0,2,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Brent Urban,8769,DI,1,BLT,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Tom Savage,8770,QB,3,HST,142,92,0,50,0,0,0,0,0,64.8,,60,0,1,0,1,0,0
2016,Dakota Dozier,8772,G,8,NYJ,144,0,66,78,0,1,0,115,0,79.9,88.9,71.5,0,0,1,1,1,0
2016,Lorenzo Taliaferro,8773,HB,1,BLT,4,0,4,0,0,0,0,0,0,63.4,78.7,,0,0,0,0,0,0
2016,Cameron Fleming,8775,T,13,NE,283,0,131,152,92,0,0,0,88,71.9,75.8,65.8,0,0,2,2,1,0
