year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Chris Polk,7532,HB,14,PHI,54.3,11,54.8,11,340,102,30.9,1,0,0,,0,0,0,,0,0,0
2014,Larry Donnell,7638,TE,16,NYG,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Will Johnson,7639,FB,16,PIT,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Mike Martin,7644,DI,12,TEN,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Cyrus Gray,7655,HB,9,KC,59.9,1,59.9,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Mike Brown,7698,WR,5,JAX,62,6,,1,11,11,11,0,0,0,62.6,5,37,13,7.4,0,5,0
2014,Cooper Helfet,7737,TE,10,SEA,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Tavon Austin,7789,WR,15,SL,66.7,36,58.4,2,19,11,9.5,0,0,0,69.8,34,392,78,11.5,1,24,0
2014,Cordarrelle Patterson,7810,WR,16,MIN,64.2,33,63.8,33,871,51,26.4,0,0,0,,0,0,0,,0,0,0
2014,Zach Ertz,7816,TE,16,PHI,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Robert Woods,7822,WR,16,BUF,60.6,1,,0,0,0,,0,0,0,60.7,1,11,11,11,0,0,0
2014,Keenan Allen,7857,WR,14,SD,63.5,10,,0,0,0,,0,0,0,64.6,10,99,29,9.9,0,11,0
2014,Marquise Goodwin,7859,WR,10,BUF,71.9,4,70.8,4,84,24,21,0,0,0,,0,0,0,,0,0,0
2014,Markus Wheaton,7860,WR,16,PIT,68.8,20,67.9,20,494,41,24.7,0,0,0,,0,0,0,,0,0,0
2014,Stedman Bailey,7873,WR,14,SL,,2,,1,9,9,9,0,0,0,,1,90,90,90,1,0,0
2014,Brandon Williams,7876,TE,14,CAR,,3,,3,36,19,12,0,0,0,,0,0,0,,0,0,0
2014,Knile Davis,7878,HB,16,KC,83.9,29,81.5,29,829,99,28.6,1,0,0,,0,0,0,,0,0,0
2014,Ace Sanders,7883,WR,12,JAX,58.2,31,61.2,1,16,16,16,0,0,0,55.6,30,227,23,7.6,0,10,0
