player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
RJ McIntosh,48873,DI,6,NYG,30,30,100.0,0,1,2,3,5.0,17,56.7,0,1,0,1,2.9,13,43.3,0,0,2,2,7.7
Quinton Jefferson,10781,DI,16,SEA,351,351,100.0,4,10,17,31,5.0,156,44.7,2,2,5,9,3.5,193,55.3,2,8,12,22,6.2
Jonathan Allen,11772,DI,16,WAS,446,443,99.3,8,7,21,36,5.0,7,1.6,0,0,1,1,7.1,427,98.4,8,6,20,34,4.9
David Onyemata,10754,DI,16,NO,399,388,97.2,5,1,28,34,5.0,112,29.3,0,0,7,7,3.1,270,70.7,5,1,21,27,5.9
Dion Jordan,7785,ED,12,SEA,192,189,98.4,2,5,10,17,5.0,116,61.4,1,3,6,10,4.7,73,38.6,1,2,4,7,5.5
Aaron Lynch,8785,ED,13,CHI,222,190,85.6,3,6,7,16,5.0,97,51.1,2,3,3,8,5.2,93,48.9,1,3,4,8,4.8
Taven Bryan,48753,ED,16,JAX,139,139,100.0,2,1,9,12,5.0,84,60.4,1,1,6,8,5.4,55,39.6,1,0,3,4,4.5
Maliek Collins,10701,DI,13,DAL,318,318,100.0,3,5,21,29,5.0,169,53.7,0,3,16,19,5.6,146,46.3,3,2,5,10,4.5
Mike Pennel,9316,DI,16,NYJ,137,134,97.8,0,2,11,13,4.9,65,55.1,0,2,9,11,8.5,53,44.9,0,0,1,1,0.9
Andrew Billings,10756,DI,16,CIN,277,277,100.0,3,4,17,24,4.9,105,39.5,1,2,6,9,4.8,161,60.5,2,2,10,14,5.0
Andre Branch,7042,ED,14,MIA,269,256,95.2,2,3,18,23,4.9,46,18.0,0,1,4,5,5.4,210,82.0,2,2,14,18,4.8
Jerel Worthy,7054,DI,4,TB,41,41,100.0,0,0,4,4,4.9,10,25.6,0,0,0,0,0.0,29,74.4,0,0,4,4,6.9
Arden Key,50201,ED,16,OAK,350,328,93.7,1,10,20,31,4.9,170,51.8,1,6,13,20,6.2,158,48.2,0,4,7,11,3.5
Jack Crawford,7151,DI,16,ATL,379,371,97.9,6,3,21,30,4.9,217,58.8,4,1,12,17,4.8,152,41.2,2,2,9,13,4.9
Chris Wormley,11829,DI,16,BLT,220,215,97.7,1,1,18,20,4.9,102,48.8,0,1,10,11,5.4,107,51.2,1,0,7,8,4.2
Devon Kennard,8809,ED,15,DET,478,400,83.7,6,7,20,33,4.9,365,92.2,5,7,19,31,4.9,31,7.8,1,0,1,2,4.8
Leonard Floyd,10643,ED,16,CHI,518,416,80.3,4,7,25,36,4.8,260,62.5,2,6,19,27,5.6,156,37.5,2,1,6,9,3.5
Clay Matthews,4949,ED,16,GB,430,356,82.8,4,7,19,30,4.8,234,65.9,4,6,11,21,5.3,121,34.1,0,1,8,9,3.7
Kareem Martin,8719,ED,16,NYG,316,272,86.1,2,9,13,24,4.8,129,48.0,1,2,6,9,3.9,140,52.0,1,7,7,15,5.7
Nick Perry,7033,ED,9,GB,175,157,89.7,2,1,10,13,4.8,37,23.6,0,0,3,3,4.1,120,76.4,2,1,7,10,5.0
Chris Landrum,10992,ED,7,LAC,73,73,100.0,0,2,5,7,4.8,29,39.7,0,1,1,2,3.4,44,60.3,0,1,4,5,5.7
Corey Liuget,6170,DI,6,LAC,129,126,97.7,2,2,6,10,4.8,60,51.3,1,0,0,1,1.7,57,48.7,1,2,6,9,8.8
Isaac Rochell,11980,ED,16,LAC,343,342,99.7,6,1,19,26,4.7,206,61.7,4,1,12,17,5.1,128,38.3,2,0,6,8,3.9
Eddie Goldman,9472,DI,16,CHI,330,330,100.0,3,0,25,28,4.7,31,11.2,0,0,2,2,3.2,245,88.8,3,0,15,18,4.3
Dean Lowry,10771,DI,16,GB,349,348,99.7,4,3,22,29,4.7,195,56.2,2,2,13,17,4.9,152,43.8,2,1,9,12,4.6
Ethan Westbrooks,8976,DI,16,LA,97,97,100.0,1,1,6,8,4.6,50,53.2,1,1,2,4,5.0,44,46.8,0,0,4,4,4.5
Wes Horton,8484,ED,16,CAR,253,249,98.4,2,0,19,21,4.6,218,87.6,2,0,18,20,5.0,31,12.4,0,0,1,1,1.6
Solomon Thomas,11758,ED,16,SF,328,318,97.0,1,6,21,28,4.6,149,48.5,1,2,11,14,5.0,158,51.5,0,4,10,14,4.4
Vic Beasley Jr.,9441,ED,16,ATL,448,422,94.2,6,3,24,33,4.6,335,79.6,6,2,17,25,4.6,86,20.4,0,1,7,8,4.7
Michael Pierce,11101,DI,14,BLT,222,218,98.2,0,2,18,20,4.6,74,40.2,0,1,7,8,5.4,110,59.8,0,0,9,9,4.1
