year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Kenny Golladay,11851,WR,16,DET,113,65,57.5,1190,11,79.9,79.3,61.5,46.5,48.3,18.3,303,4.7,75,52,5,5,1,4,107.9,6,3
2019,Michael Gallup,26075,WR,14,DAL,112,66,58.9,1107,6,74,74.4,29.1,80.8,,16.8,333,5,62,51,13,2,0,10,102.8,1,0
2019,Tyler Lockett,9502,WR,16,SEA,108,82,75.9,1057,8,77.2,78.4,80.2,67.6,,12.9,299,3.6,44,52,4,1,1,2,127,2,0
2019,George Kittle,11901,TE,14,SF,106,85,80.2,1053,5,95,95,90.9,56.2,61.6,12.4,621,7.3,61,54,1,2,1,20,115.9,2,1
2019,Larry Fitzgerald,1724,WR,16,ARZ,104,75,72.1,804,4,70.3,71.6,90.5,82,64.4,10.7,362,4.8,54,40,0,4,1,6,91.2,2,0
2019,Austin Ekeler,12164,HB,16,LAC,104,92,88.5,993,8,85.2,93.6,90.4,65.7,56.6,10.8,950,10.3,84,42,2,2,2,22,124.1,0,0
2019,Curtis Samuel,11795,WR,16,CAR,103,54,52.4,627,6,62.7,63,47.6,82.6,65.7,11.6,159,2.9,44,36,7,1,0,3,86.5,2,0
2019,Tarik Cohen,11874,HB,16,CHI,102,79,77.5,456,3,60.6,61.4,68.4,90.8,70.6,5.8,442,5.6,31,18,6,1,0,12,91,0,0
2019,Cole Beasley,7330,WR,15,BUF,99,67,67.7,778,6,73.6,73.8,62.3,81.1,70.2,11.6,344,5.1,51,37,6,4,0,3,94.6,0,0
2019,Christian Kirk,47546,WR,13,ARZ,99,68,68.7,709,3,62.5,62,80.3,85.1,66.2,10.4,296,4.4,69,31,3,1,0,4,95.1,2,0
2019,Mark Andrews,47436,TE,15,BLT,97,64,66,852,10,90.8,90.2,67.5,26.7,57.3,13.3,290,4.5,51,43,5,3,2,7,115.1,2,1
2019,D.K. Metcalf,47864,WR,16,SEA,97,58,59.8,900,7,69.7,69.4,45.1,21.8,,15.5,280,4.8,54,39,8,1,3,9,110.3,6,3
2019,Dede Westbrook,11865,WR,15,JAX,97,66,68,660,3,63.5,63.9,74.8,67.8,,10,312,4.7,39,31,4,2,0,9,88.9,3,1
2019,Emmanuel Sanders,5606,WR,17,SF,96,66,68.8,869,5,78.5,79.3,90.3,81.3,62.4,13.2,240,3.6,75,41,1,7,0,7,84.1,7,0
